,city,lat,lon,temp_max,humidity,all,speed,country,date
134,Bathsheba,13.2167,-59.5167,79.41,89,75,11.5,BB,[]
135,Albanel,48.8832,-72.4487,47.17,87,100,8.59,CA,[]
136,Visavadar,21.3833,70.6833,93.58,22,1,11.65,IN,[]
137,Vestmannaeyjar,63.4427,-20.2734,45.59,93,40,9.22,IS,[]
138,Folkestone,51.0833,1.1833,58.98,60,5,13.94,GB,[]
139,Klaksvik,62.2266,-6.589,43.72,66,100,8.57,FO,[]
140,Harper,4.375,-7.7169,83.71,78,99,7.29,LR,[]
141,Terrace,54.5163,-128.6035,31.91,100,100,2.3,CA,[]
142,Taoudenni,22.6783,-3.9836,90.57,12,0,20.24,ML,[]
143,Taitung,22.7583,121.1444,80.92,80,2,7.34,TW,[]
144,Ryki,51.6257,21.9327,52.83,44,99,8.14,PL,[]
145,Broken Hill,-31.95,141.4333,59.58,94,84,14.05,AU,[]
146,Gisenyi,-1.7028,29.2564,70.29,85,89,3.04,RW,[]
147,Daru,-9.0763,143.2092,80.58,81,53,4.7,PG,[]
148,Salalah,17.0151,54.0924,86.09,66,20,9.22,OM,[]
149,Teguise,29.0605,-13.564,64.62,77,75,13.8,ES,[]
150,Pullman,46.7313,-117.1796,44.83,88,100,12.66,US,[]
151,Salamanca,40.8333,-6.0,60.58,54,100,13.47,ES,[]
152,Airai,-8.9266,125.4092,59.74,87,73,0.87,TL,[]
153,Pitkyaranta,61.5734,31.4792,35.65,96,100,11.43,RU,[]
154,Barrow,71.2906,-156.7887,5.02,85,100,11.5,US,[]
155,Qaanaaq,77.484,-69.3632,13.95,71,37,5.66,GL,[]
156,Port Macquarie,-31.4333,152.9167,61.9,87,100,3.76,AU,[]
157,Santa Cruz De La Palma,28.6835,-17.7642,70.14,64,75,17.27,ES,[]
158,Balabac,7.9868,117.0645,82.18,79,100,7.67,PH,[]
159,Kununurra,-15.7667,128.7333,75.18,73,98,0.0,AU,[]
160,Privolzhsk,57.3808,41.2886,54.16,65,100,8.43,RU,[]
161,Palana,59.1167,159.9667,25.05,98,100,7.29,RU,[]
162,Shamkhal,43.0596,47.3373,62.58,47,11,17.22,RU,[]
163,Torbay,47.6666,-52.7314,42.89,91,100,14.97,CA,[]
164,Sioux Lookout,50.1001,-91.917,17.15,79,100,7.94,CA,[]
165,Saint Anthony,45.0205,-93.218,31.24,68,100,14.97,US,[]
